chip_id,process_node,transistor_count,defect_type,defect_rate,yield_status,power_efficiency,fabrication_time,has_defect
CHIP_9935,3nm,12941152,etching,0.03204026684231286,high,1.1837654569968148,83,1
CHIP_4257,10nm,1033224,none,0.01843257158754332,high,0.9064263457240349,41,1
CHIP_3615,5nm,8536477,none,0.0,low,0.9172860623459941,10,0
CHIP_2674,7nm,5661907,none,0.0,high,0.8229706431613832,31,0
CHIP_8527,10nm,2122631,etching,0.08627449297127139,low,0.6174250406664157,42,1
CHIP_4150,10nm,1822047,etching,0.08464641978276954,low,1.3625420975241682,63,1
CHIP_2654,3nm,11594157,lithography,0.07957615067098228,high,1.3263812652181763,95,1
CHIP_7065,7nm,8606962,none,0.0,low,1.7511656399611255,20,0
CHIP_3803,5nm,5479144,none,0.0,low,1.904981881568741,14,0
CHIP_6313,5nm,8255439,doping,0.03429530441058502,low,1.1257943501199759,54,1
CHIP_6155,5nm,14287559,none,0.08245412206940929,medium,0.6212890511708433,53,1
CHIP_9830,10nm,7137601,doping,0.02285844313978564,high,0.59595300923278,75,1
CHIP_9348,10nm,7700828,none,0.0,medium,0.8289811387359249,18,0
CHIP_7916,3nm,1790481,none,0.0,high,0.7292619790223915,20,0
CHIP_2876,10nm,6902509,doping,0.057620291058922336,low,1.3329356426813976,40,1
CHIP_1053,7nm,2871534,none,0.0,medium,1.1521478760036574,39,0
CHIP_9317,5nm,9517485,none,0.0,high,1.8057778547551504,29,0
CHIP_6310,5nm,6773233,lithography,0.05854411271076632,low,1.4021921932748427,78,1
CHIP_4923,3nm,2876828,none,0.0,medium,1.8180828167347762,29,0
CHIP_9727,5nm,10018669,none,0.01770881068610909,medium,1.2792279041041061,88,1
CHIP_7932,5nm,11568782,doping,0.09521638117344919,high,0.618067954728071,95,1
CHIP_9479,5nm,12461298,etching,0.045909306999768626,low,1.0798536691673442,68,1
CHIP_4770,3nm,5159166,none,0.0,high,0.5960388444895174,11,0
CHIP_9423,3nm,1691066,none,0.030604760543003894,high,1.3315624803044959,44,1
CHIP_8744,7nm,11723584,doping,0.029281312663339477,high,1.168023079057165,96,1
CHIP_7939,10nm,14047551,doping,0.027136892292568993,high,1.0907792994175955,62,1
CHIP_1993,10nm,1908841,none,0.0,low,1.4801832323986874,16,0
CHIP_8350,7nm,2833230,none,0.0,high,0.787385108212481,44,0
CHIP_2604,10nm,3578418,etching,0.05163652615608707,high,0.8317568940641482,95,1
CHIP_7570,3nm,2064689,lithography,0.02496799995435226,medium,0.8776301015652475,95,1
CHIP_8454,5nm,6858113,none,0.09867779594017534,medium,1.4118216882712,90,1
CHIP_1958,10nm,9164991,none,0.0,high,0.7848468009014558,23,0
